,goal_reached,path_length,times_disturbed,is_alternative,distance_saved,safety_value,allowance,safety_list,graph_reference
0,False,69,11,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
1,False,9,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
2,False,26,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
3,False,69,10,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
4,True,89,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
5,False,22,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
6,False,26,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
7,False,9,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
8,True,93,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
9,True,97,11,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
10,False,9,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
11,False,25,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
12,True,89,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
13,True,95,10,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
14,False,9,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
15,False,33,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
16,False,9,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
17,False,46,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
18,False,9,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
19,True,91,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
20,False,9,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
21,False,46,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
22,False,22,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
23,True,89,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
24,False,9,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
25,False,46,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
26,True,93,11,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
27,False,22,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
28,True,93,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
29,False,9,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
30,False,9,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
31,True,93,10,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
32,True,89,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
33,False,22,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
34,True,89,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
35,True,89,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
36,True,91,10,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
37,False,50,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
38,True,91,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_18_40_26_283430
