,goal_reached,path_length,times_disturbed,is_alternative,safety_value,allowance,safety_list,graph_reference
0,True,112,10,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
1,False,11,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
2,True,110,10,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
3,False,3,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
4,False,47,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
5,False,55,6,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
6,False,55,9,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
7,False,6,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
8,False,65,11,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
9,False,11,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
10,False,3,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
11,False,51,6,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
12,True,112,12,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
13,False,49,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
14,False,63,8,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
15,False,3,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
16,False,11,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
17,True,110,11,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
18,False,11,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
19,True,112,12,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
20,False,3,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
21,True,112,10,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
22,False,6,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
23,False,67,10,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
24,True,114,12,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
25,False,6,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
26,False,6,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
27,True,110,11,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
28,False,3,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
29,False,11,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
30,False,11,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
31,False,57,7,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
32,False,11,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
33,False,65,9,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
34,False,3,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
35,True,110,8,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
36,False,55,7,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
37,False,57,7,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
38,False,47,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
39,True,110,12,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
40,False,6,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
41,False,59,6,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
42,False,59,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
43,False,3,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
44,False,3,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
45,False,61,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
46,False,11,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
47,True,110,9,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
48,True,114,16,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
49,False,3,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
50,False,3,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
51,False,49,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
52,False,57,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
53,False,59,10,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
54,False,6,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
55,True,110,6,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
56,False,11,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
57,False,6,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
58,False,6,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
59,False,3,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
60,False,11,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
61,False,3,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_18_4_26_25
