,goal_reached,path_length,times_disturbed,is_alternative,distance_saved,safety_value,allowance,safety_list,graph_reference
0,False,11,2,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
1,False,15,4,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
2,True,131,18,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
3,True,123,14,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
4,False,11,2,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
5,False,13,3,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
6,False,17,5,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
7,False,25,1,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
8,False,9,1,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
9,False,17,5,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
10,False,114,13,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
11,False,108,10,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
12,False,27,2,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
13,False,31,4,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
14,False,117,14,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
15,False,123,15,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
16,False,34,1,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
17,False,36,2,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
18,False,108,10,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
19,False,13,3,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
20,False,31,4,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
21,False,37,7,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
22,False,119,13,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
23,False,11,2,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
24,True,115,10,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
25,True,107,6,False,,1,2,"[1, 2, 3, 4, 5, 6]",V_19_13_17_22_858537
