,goal_reached,path_length,times_disturbed,is_alternative,distance_saved,safety_value,allowance,safety_list,graph_reference
0,False,85,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
1,False,9,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
2,False,6,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
3,False,3,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
4,False,11,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
5,False,14,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
6,False,3,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
7,False,9,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
8,False,3,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
9,True,90,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
10,False,3,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
11,False,23,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
12,False,11,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
13,False,21,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
14,False,93,12,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
15,False,16,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
16,False,48,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
17,False,21,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
18,False,3,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
19,False,6,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
20,False,32,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
21,False,6,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
22,False,32,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
23,False,3,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
24,False,9,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
25,False,3,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
26,False,62,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
27,False,3,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
28,False,24,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
29,False,6,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
30,True,92,8,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
31,False,85,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
32,False,9,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
33,False,3,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
34,False,22,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
35,False,3,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
36,False,14,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
37,False,9,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
38,False,18,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
39,False,22,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_14_2_55_31337
