,goal_reached,path_length,times_disturbed,is_alternative,distance_saved,safety_value,allowance,safety_list,graph_reference
0,False,9,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
1,False,55,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
2,False,32,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
3,True,59,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
4,False,59,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
5,False,5,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
6,False,7,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
7,True,55,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
8,True,57,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
9,True,65,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
10,True,57,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
11,False,57,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
12,False,57,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
13,True,63,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
14,True,57,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
15,False,32,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
16,False,55,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
17,False,5,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
18,True,57,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
19,True,67,7,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
20,False,32,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
21,True,59,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
22,False,59,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
23,False,55,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
24,False,59,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
25,False,57,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
26,True,59,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
27,False,5,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
28,False,34,5,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
29,True,55,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
30,True,59,9,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
31,False,32,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
32,False,32,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
33,False,5,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
34,False,7,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
35,True,59,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
36,True,57,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
37,False,5,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
38,False,59,6,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
39,False,34,3,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_19_12_50_3_393832
