algorithm,graph_preset_number,elapsed_time
dijkstra,1,0.5377322140011529
a_star,1,7.670558501002233
bfs,1,0.22938291299942648
greedy best-first search,1,4.795463894999557
dijkstra,2,0.5097170600020036
a_star,2,3.472584202001599
bfs,2,0.4118758090007759
dfs,2,6.369991751853377e-07
greedy best-first search,2,2.483678732998669
dijkstra,3,0.5074079330006498
a_star,3,4.676429063998512
bfs,3,0.22364121400096337
greedy best-first search,3,3.5205514519984717
