,goal_reached,path_length,times_disturbed,is_alternative,safety_value,allowance,safety_list,graph_reference
0,True,43,7,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
1,False,40,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
2,True,43,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
3,False,31,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
4,True,43,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
5,True,45,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
6,False,45,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
7,True,43,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
8,True,43,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
9,False,31,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
10,True,43,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
11,False,43,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
12,True,45,6,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
13,True,45,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
14,True,43,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
15,True,45,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
16,False,43,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
17,False,43,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
18,True,49,10,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
19,False,43,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
20,True,43,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
21,False,31,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
22,True,43,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
23,True,47,9,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
24,False,43,8,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
25,False,43,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
26,True,43,7,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
27,False,31,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
28,True,43,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
29,False,40,6,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
30,True,43,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
31,False,31,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
32,False,31,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
33,True,43,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
34,True,45,6,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
35,True,43,9,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
36,True,45,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
37,False,31,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
38,True,43,6,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
39,True,43,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
40,False,43,11,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
41,False,12,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
42,False,31,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
43,False,31,7,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
44,True,43,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
45,True,43,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
46,True,43,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
47,True,43,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
48,False,31,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
49,False,43,5,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",J_18_2_11_22
