,goal_reached,path_length,times_disturbed,is_alternative,safety_value,allowance,safety_list,graph_reference
0,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
1,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
2,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
3,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
4,False,13,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
5,True,17,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
6,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
7,False,13,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
8,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
9,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
10,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
11,False,13,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
12,False,13,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
13,True,15,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
14,True,15,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
15,True,15,0,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
16,False,13,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
17,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
18,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
19,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
20,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
21,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
22,True,15,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
23,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
24,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
25,True,15,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
26,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
27,False,13,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
28,False,13,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
29,False,13,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
30,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
31,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
32,False,13,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
33,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
34,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
35,False,13,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
36,True,15,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
37,False,13,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
38,True,15,0,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
39,True,15,0,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
40,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
41,True,15,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
42,True,15,0,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
43,False,13,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
44,True,15,0,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
45,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
46,True,15,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
47,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
48,True,15,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
49,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
50,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
51,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
52,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
53,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
54,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
55,False,13,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
56,False,13,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
57,True,15,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
58,True,15,0,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
59,False,13,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
60,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
61,True,15,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
62,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
63,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
64,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
65,False,13,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
66,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
67,False,13,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
68,False,13,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
69,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
70,False,13,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
71,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
72,True,15,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
73,False,13,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
74,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
75,False,13,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
76,True,15,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
77,True,15,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
78,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
79,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
80,True,15,0,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
81,True,15,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
82,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
83,True,15,0,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
84,True,15,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
85,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
86,True,17,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
87,True,17,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
88,True,15,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
89,True,15,0,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
90,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
91,True,15,0,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
92,False,13,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
93,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
94,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
95,False,13,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
96,True,15,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
97,False,13,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
98,True,15,0,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
99,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
100,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
101,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
102,True,15,0,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
103,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
104,False,13,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
105,True,15,0,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
106,True,15,0,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
107,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
108,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
109,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
110,True,15,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
111,False,13,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
112,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
113,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
114,False,13,4,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
115,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
116,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
117,True,15,0,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
118,False,13,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
119,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
120,True,15,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
121,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
122,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
123,True,15,2,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
124,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
125,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
126,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
127,True,15,1,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
128,False,13,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
129,True,15,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
130,True,15,3,False,1,2,"[1, 2, 3, 4, 5, 6, 7]",V_17_21_50_39
