,goal_reached,path_length,times_disturbed,is_alternative,distance_saved,safety_value,allowance,safety_list,graph_reference
0,True,12,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
1,True,14,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
2,True,12,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
3,True,12,0,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
4,True,12,0,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
5,True,12,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
6,True,12,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
7,True,12,0,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
8,True,12,0,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
9,True,12,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
10,True,14,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
11,False,4,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
12,True,20,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
13,False,4,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
14,True,12,0,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
15,True,12,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
16,True,12,0,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
17,True,16,4,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
18,True,12,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
19,True,12,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
20,True,12,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
21,True,12,0,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
22,False,4,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
23,False,4,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
24,True,12,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
25,True,14,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
26,True,12,0,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
27,True,12,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
28,False,6,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
29,True,12,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
30,True,12,0,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
31,True,12,0,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
32,False,4,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
33,True,12,2,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
34,True,12,0,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
35,True,12,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
36,True,14,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
37,True,12,0,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
38,True,12,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
39,False,4,1,False,,1,2,"[1, 2, 3, 4, 5, 6, 7]",M_18_19_50_10_804823
